placa,data_posicao,velocidade,longitude,latitude,ignicao
TESTE001,Wed Dec 12 2018 00:04:03 GMT-0200 (Hora oficial do Brasil),0,-51.469891,-25.3649141,false
TESTE001,Wed Dec 12 2018 00:34:06 GMT-0200 (Hora oficial do Brasil),0,-51.4699098,-25.3649175,false
TESTE001,Wed Dec 12 2018 01:04:09 GMT-0200 (Hora oficial do Brasil),0,-51.4699588,-25.3649551,false
TESTE001,Wed Dec 12 2018 01:34:12 GMT-0200 (Hora oficial do Brasil),0,-51.4698871,-25.3649138,false
TESTE001,Wed Dec 12 2018 02:04:15 GMT-0200 (Hora oficial do Brasil),0,-51.4699223,-25.364885,false
TESTE001,Wed Dec 12 2018 02:34:18 GMT-0200 (Hora oficial do Brasil),0,-51.4699111,-25.364896,false
TESTE001,Wed Dec 12 2018 03:04:22 GMT-0200 (Hora oficial do Brasil),0,-51.469953,-25.364846,false
TESTE001,Wed Dec 12 2018 03:34:26 GMT-0200 (Hora oficial do Brasil),0,-51.4699506,-25.3649141,false
TESTE001,Wed Dec 12 2018 04:04:29 GMT-0200 (Hora oficial do Brasil),0,-51.4698788,-25.3648976,false
TESTE001,Wed Dec 12 2018 04:34:32 GMT-0200 (Hora oficial do Brasil),0,-51.4699216,-25.3648943,false
TESTE001,Wed Dec 12 2018 05:04:35 GMT-0200 (Hora oficial do Brasil),0,-51.4699051,-25.3648238,false
TESTE001,Wed Dec 12 2018 05:34:38 GMT-0200 (Hora oficial do Brasil),0,-51.4699125,-25.3649338,false
TESTE001,Wed Dec 12 2018 06:04:42 GMT-0200 (Hora oficial do Brasil),0,-51.4698938,-25.3648955,false
TESTE001,Wed Dec 12 2018 06:34:45 GMT-0200 (Hora oficial do Brasil),0,-51.4699118,-25.364886,false
TESTE001,Wed Dec 12 2018 07:04:48 GMT-0200 (Hora oficial do Brasil),0,-51.4699666,-25.364897,false
TESTE001,Wed Dec 12 2018 07:34:51 GMT-0200 (Hora oficial do Brasil),0,-51.4699385,-25.3649003,false
TESTE001,Wed Dec 12 2018 08:04:54 GMT-0200 (Hora oficial do Brasil),0,-51.4699273,-25.3649003,false
TESTE001,Wed Dec 12 2018 08:34:57 GMT-0200 (Hora oficial do Brasil),0,-51.4699368,-25.3649311,false
TESTE001,Wed Dec 12 2018 09:04:59 GMT-0200 (Hora oficial do Brasil),0,-51.4699168,-25.3649196,false
TESTE001,Wed Dec 12 2018 09:35:02 GMT-0200 (Hora oficial do Brasil),0,-51.46992,-25.3649506,false
TESTE001,Wed Dec 12 2018 10:05:05 GMT-0200 (Hora oficial do Brasil),0,-51.4699121,-25.3649246,false
TESTE001,Wed Dec 12 2018 10:35:08 GMT-0200 (Hora oficial do Brasil),0,-51.469902,-25.3649085,false
TESTE001,Wed Dec 12 2018 11:05:11 GMT-0200 (Hora oficial do Brasil),0,-51.469938,-25.3649175,false
TESTE001,Wed Dec 12 2018 11:35:14 GMT-0200 (Hora oficial do Brasil),0,-51.4699128,-25.3648926,false
